concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
0.13566666666666669,2.849,0.0638095238095238,1.3399999999999999,0.020476190476190474,0.43,0.09038095238095238,1.898,-0.008380952380952381,-0.176,1.0
0.1889285714285714,2.6449999999999996,-0.15664285714285714,-2.193,0.15314285714285716,2.144,0.16328571428571428,2.286,0.035428571428571434,0.49600000000000005,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.019199999999999995,-0.19199999999999995,-0.0973,-0.973,-0.015000000000000003,-0.15000000000000002,0.021100000000000008,0.21100000000000008,0.0,0.0,0.0
0.06337777777777778,2.8520000000000003,-0.03353333333333333,-1.509,0.07519999999999999,3.3839999999999995,0.06997777777777779,3.1490000000000005,-0.002022222222222222,-0.091,1.0
0.07922727272727272,1.7429999999999999,0.03781818181818181,0.832,0.10945454545454546,2.408,0.10436363636363638,2.2960000000000003,0.0,0.0,1.0
-0.061142857142857145,-0.428,0.04528571428571428,0.317,-0.14557142857142855,-1.019,-0.056428571428571425,-0.39499999999999996,-0.008142857142857143,-0.057,1.0
-0.1075,-0.86,0.0,0.0,-0.0855,-0.684,-0.104125,-0.833,0.1195,0.956,0.0
0.28854545454545455,3.174,-0.297,-3.267,0.25372727272727275,2.791,0.28900000000000003,3.1790000000000003,0.0038181818181818182,0.042,1.0
0.323,0.9690000000000001,-0.14533333333333334,-0.436,0.21066666666666667,0.632,0.256,0.768,-0.037333333333333336,-0.112,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.021727272727272727,0.239,0.01309090909090909,0.144,0.0,0.0,0.010181818181818183,0.112,0.0041818181818181815,0.046,1.0
0.0,0.0,-0.13614285714285715,-0.953,0.0032857142857142885,0.02300000000000002,0.020142857142857146,0.14100000000000001,0.079,0.553,1.0
0.11830769230769231,1.538,0.14407692307692307,1.873,0.07076923076923078,0.92,0.111,1.443,0.0,0.0,1.0
0.01196666666666667,0.3590000000000001,-0.08323333333333333,-2.497,0.055433333333333334,1.663,0.049066666666666675,1.4720000000000002,-0.0317,-0.9510000000000001,0.0
-0.049428571428571426,-0.346,-0.12257142857142857,-0.858,-3.96508223080413e-18,-2.7755575615628914e-17,-0.020857142857142852,-0.14599999999999996,0.11142857142857143,0.78,0.0
0.0405483870967742,1.2570000000000001,0.005419354838709677,0.16799999999999998,-0.0017096774193548394,-0.05300000000000002,0.03741935483870968,1.1600000000000001,-0.0017096774193548386,-0.053,0.0
0.084,0.756,-0.061222222222222226,-0.551,0.10266666666666667,0.924,0.08266666666666667,0.744,0.0,0.0,0.0
0.047058823529411764,0.8,0.08152941176470589,1.3860000000000001,-0.05029411764705882,-0.855,0.02164705882352941,0.368,-0.013529411764705882,-0.22999999999999998,0.0
0.1585,0.9510000000000001,-0.12716666666666665,-0.7629999999999999,0.12283333333333334,0.737,0.151,0.906,-0.018666666666666668,-0.112,1.0
0.08704761904761905,1.828,0.023000000000000003,0.4830000000000001,0.07519047619047618,1.579,0.08461904761904762,1.7770000000000001,-0.009095238095238095,-0.191,1.0
-0.053,-0.689,0.018846153846153846,0.245,-0.015384615384615385,-0.2,-0.04076923076923077,-0.53,-0.0726923076923077,-0.945,1.0
-0.038099999999999995,-0.38099999999999995,0.0312,0.312,-0.099,-0.99,-0.03979999999999999,-0.3979999999999999,-0.013600000000000001,-0.136,0.0
-0.034272727272727274,-0.377,-0.08845454545454545,-0.973,0.004545454545454539,0.04999999999999993,-0.006181818181818188,-0.06800000000000006,0.07727272727272727,0.85,0.0
0.060333333333333336,1.086,0.06983333333333334,1.2570000000000001,0.04711111111111112,0.8480000000000001,0.05455555555555555,0.982,-0.007722222222222223,-0.139,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0366,0.183,0.038,0.19,0.0246,0.123,0.0256,0.128,-0.0224,-0.112,1.0
0.03716666666666667,0.223,0.0255,0.153,-0.004833333333333334,-0.029,0.016166666666666666,0.097,-0.0095,-0.057,1.0
-0.048857142857142856,-0.34199999999999997,0.03928571428571429,0.275,-0.1122857142857143,-0.786,-0.043714285714285706,-0.30599999999999994,-0.009571428571428573,-0.067,0.0
0.14220000000000002,1.4220000000000002,-0.0916,-0.916,0.1528,1.528,0.12890000000000001,1.2890000000000001,0.0,0.0,0.0
-0.1238,-0.619,0.0,0.0,-0.178,-0.89,-0.1396,-0.698,0.11679999999999999,0.584,1.0
0.012181818181818177,0.13399999999999995,-0.0659090909090909,-0.725,0.03427272727272726,0.3769999999999999,0.021909090909090913,0.24100000000000005,0.07745454545454546,0.8520000000000001,0.0
0.05590624999999999,1.7889999999999997,-0.0564375,-1.806,0.06903124999999999,2.2089999999999996,0.05571875,1.783,-0.0015312500000000014,-0.049000000000000044,1.0
0.08280000000000001,0.8280000000000001,-0.0893,-0.893,0.11539999999999999,1.154,0.10089999999999999,1.009,0.0,0.0,1.0
-0.03893333333333334,-0.5840000000000001,0.013133333333333334,0.197,-0.04273333333333333,-0.641,-0.037733333333333334,-0.5660000000000001,0.028933333333333335,0.43400000000000005,1.0
0.1804,0.902,0.19619999999999999,0.981,0.0,0.0,0.1256,0.628,0.0,0.0,0.0
0.03692857142857143,0.517,-0.06471428571428571,-0.9059999999999999,0.06142857142857143,0.86,0.05757142857142857,0.806,0.0,0.0,0.0
