count_named_entities,count_number_date_time,future_tense,count_dictionary_words,subjectivity
58,1,0,0,0
70,1,0,0,0
123,0,0,0,1
46,0,0,0,1
123,0,0,0,1
14,1,0,0,0
21,0,0,0,1
111,0,0,0,0
22,0,0,0,1
53,0,0,0,0
45,0,0,0,1
49,0,0,0,1
55,1,0,0,1
27,0,0,0,0
152,0,1,0,1
41,0,0,0,0
104,0,0,0,1
80,0,0,0,0
44,0,0,0,1
43,2,0,0,0
47,0,0,0,1
45,1,0,0,1
17,0,0,0,0
120,0,0,0,1
131,1,0,0,1
111,0,0,0,1
47,0,0,0,1
113,0,0,0,1
81,2,0,0,0
70,0,0,0,1
73,1,0,0,0
61,0,0,0,0
37,2,0,0,0
56,0,0,0,1
45,0,0,0,0
26,1,0,0,0
16,0,0,0,1
18,0,0,0,1
14,0,0,0,0
16,0,0,0,1
18,0,0,0,1
12,1,0,0,0
159,0,0,0,1
51,0,0,0,1
48,0,0,0,1
94,0,0,0,0
11,1,0,0,0
85,0,0,0,1
125,1,0,0,1
27,0,0,0,1
23,0,0,0,0
38,1,0,0,1
83,0,0,0,0
10,0,0,0,1
41,0,0,0,0
122,0,1,0,0
64,0,1,0,1
32,2,0,0,1
55,0,0,0,1
46,0,0,0,1
77,0,0,0,1
23,0,0,0,1
55,0,1,0,0
37,0,0,0,1
44,0,0,0,0
50,0,0,0,0
11,1,0,0,0
5,1,0,0,0
29,0,0,0,0
138,0,0,0,0
60,0,0,0,0
76,0,0,0,1
26,0,0,0,1
50,0,0,0,0
44,0,0,0,0
25,0,0,0,1
45,0,0,0,0
18,0,0,0,0
31,1,0,0,0
78,1,0,0,0
154,1,4,0,1
36,0,0,0,1
82,0,0,0,1
46,0,0,0,1
17,1,0,0,1
40,1,0,0,0
62,0,0,0,1
98,1,0,0,0
111,0,1,0,1
67,0,1,0,1
49,0,0,0,0
43,0,1,0,0
9,1,0,0,0
68,1,0,0,1
43,3,0,0,0
24,0,0,0,1
67,0,0,0,1
32,1,0,0,0
117,1,0,0,1
46,0,0,0,0
79,0,1,0,0
35,1,0,0,0
116,0,0,0,0
111,2,0,0,1
64,0,0,0,0
68,0,0,0,1
41,0,0,0,0
92,0,1,0,1
84,0,0,0,1
46,0,0,0,0
36,1,0,0,1
30,0,0,0,1
37,0,0,0,1
16,0,0,0,1
18,0,0,0,1
17,1,0,0,0
185,3,1,0,1
62,0,0,0,0
27,1,0,0,1
37,1,0,0,1
36,0,0,0,1
49,0,3,0,0
45,0,0,0,0
37,1,0,0,1
31,0,0,0,1
42,0,0,0,1
63,0,0,0,0
128,2,0,0,1
8,0,0,0,0
76,1,1,0,1
105,0,0,0,1
81,2,0,0,1
8,0,0,0,1
87,0,0,0,1
170,0,0,0,1
157,0,3,0,1
66,0,0,0,1
24,0,0,0,0
97,1,0,0,1
53,0,0,0,1
36,1,0,0,1
60,0,0,0,1
29,0,0,0,1
20,0,0,0,0
13,0,0,0,0
26,0,1,0,0
93,0,0,0,0
102,1,0,0,0
22,0,0,0,0
36,0,0,0,1
22,0,0,0,1
16,0,0,0,1
100,1,0,0,1
23,0,0,0,0
119,0,0,0,1
22,0,0,0,1
38,0,0,0,1
22,1,0,0,1
27,0,0,0,0
27,0,0,0,0
71,0,0,0,0
43,1,0,0,0
78,1,0,0,0
78,0,0,0,1
53,0,0,0,0
41,0,0,0,0
25,0,0,0,1
20,1,0,0,0
68,0,0,0,0
103,0,0,0,1
70,0,0,0,1
163,0,0,0,0
50,1,1,0,1
27,1,0,0,1
32,1,0,0,1
49,0,0,0,0
11,1,0,0,0
128,2,0,0,1
33,0,0,0,1
62,1,0,0,1
218,2,0,0,1
98,2,0,0,1
44,0,0,0,0
49,0,0,0,1
